Año,Identificador de la Orden,Rama de la Entidad,Sector de la Entidad,Entidad,Solicitante,Fecha,Proveedor,Estado,Solicitud,Items,Total,Agregacion,Ciudad,Entidad Obigada,EsPostconflicto,NIT Proveedor,Actividad Economica Proveedor,ID Entidad,NIT PROV NORM,FECHA NORM,URL COMPRA,,,,,,,,,Orden de Compra,Item
"2021,73879,Ejecutiva,Función Pública,ALCALDIA MANIZALES,Diana Constanza Mejia Grand,08/06/2021 00:00,PANORAMMA DISENO DE SOLUCIONES SAS,Emitida,131204,Ver Conjunto detalle,""140,073.00"",Emergencia COVID19,Manizales,No obligada,No Definido,900671732,1811,706,900671732,06/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73879,,,,,,,,,,"
"2021,73575,Ejecutiva,Defensa Nacional,ARMADA NACIONAL BASE NAVAL ARC SAN ANDRES,Alejandra Gonzalez Torres,08/02/2021 00:00,FUNDACION TEJIDO SOCIAL ORG,Emitida,130595,Ver Conjunto detalle,""28,085,000.00"",Emergencia COVID19,San Andrés isla.,Obligada,No Definido,900442577,9499-5621-9319-8890,618,900442577,02/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73575,,,,,,,,,,"
"2021,72733,Ejecutiva,Función Pública,ATLANTICO  MUNICIPIO DE MALAMBO,Rummenigge Monsalve Alvarez,07/19/2021 12:00:00 AM,COMERCIALIZADORA DINPRO SAS,Emitida,129331,Ver Conjunto detalle,""21,554,599.00"",Emergencia COVID19,Malambo,No obligada,No Definido,8040064085,4645,449,804006408,19/07/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/72733,,,,,,,,,,"
"2021,72744,Ejecutiva,Función Pública,ATLANTICO  MUNICIPIO DE MALAMBO,Rummenigge Monsalve Alvarez,07/19/2021 12:00:00 AM,INDUHOTEL SAS,Emitida,129334,Ver Conjunto detalle,""5,762,896.00"",Emergencia COVID19,Malambo,No obligada,No Definido,900300970,5511,449,900300970,19/07/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/72744,,,,,,,,,,"
"2021,73922,Ejecutiva,Función Pública,Alcaldia San Juan de Giron,Luz Mireya Machuca Rangel,08/06/2021 00:00,NACH SOLUCIONES AMBIENTALES E INDUSTRIALES SAS,Emitida,131288,Ver Conjunto detalle,""4,086,275.00"",Emergencia COVID19,Girón Santander,No obligada,No Definido,901169407,2512,664,901169407,06/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73922,,,,,,,,,,"
"2021,66148,Ejecutiva,Defensa Nacional,CENTRAL ADMINISTRATIVA Y CONTABLE  BUCARAMANGA,Dumar Leandro Archla Lopez,03/25/2021 12:00:00 AM,LAB BRANDS SAS,Cerrada,117509,Ver Conjunto detalle,""21,920,000.00"",Emergencia COVID19,SOGAMOSO,Obligada,No Definido,8600286628,4659,680,860028662,25/03/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/66148,,,,,,,,,,"
"2021,66149,Ejecutiva,Defensa Nacional,CENTRAL ADMINISTRATIVA Y CONTABLE  BUCARAMANGA,Dumar Leandro Archla Lopez,03/25/2021 12:00:00 AM,LAB BRANDS SAS,Cerrada,117554,Ver Conjunto detalle,""21,920,000.00"",Emergencia COVID19,TUNJA,Obligada,No Definido,8600286628,4659,680,860028662,25/03/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/66149,,,,,,,,,,"
"2021,66150,Ejecutiva,Defensa Nacional,CENTRAL ADMINISTRATIVA Y CONTABLE  BUCARAMANGA,Dumar Leandro Archla Lopez,03/25/2021 12:00:00 AM,LAB BRANDS SAS,Cerrada,117558,Ver Conjunto detalle,""21,920,000.00"",Emergencia COVID19,Bucaramanga,Obligada,No Definido,8600286628,4659,680,860028662,25/03/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/66150,,,,,,,,,,"
"2020,47053,Ejecutiva,Defensa Nacional,CENTRAL ADMINISTRATIVA Y CONTABLE ARMENIA  CENEC,Edin Alfonso Barrera Perez,04/07/2020 00:00,PMI PROYECTOS MONTAJES E INGENIERIA,Cerrada,77536,Ver Conjunto detalle,""29,197,256.00"",Emergencia COVID19,Armenia (Quindio),Obligada,No Definido,900704052,7110,508,900704052,07/04/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/47053,,,,,,,,,,"
"2020,47054,Ejecutiva,Defensa Nacional,CENTRAL ADMINISTRATIVA Y CONTABLE ARMENIA  CENEC,Edin Alfonso Barrera Perez,04/07/2020 00:00,RADIOLOGICAL PROTECTION SERVICES SAS,Cerrada,80365,Ver Conjunto detalle,""1,300,000.00"",Emergencia COVID19,Armenia (Quindio),Obligada,No Definido,900430367,8699,508,900430367,07/04/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/47054,,,,,,,,,,"
"2020,58838,Ejecutiva,Defensa Nacional,DEPARTAMENTO DE POLICIA  CAQUETA,Luis Carlos Trujillo Ortiz,11/18/2020 12:00:00 AM,IMPOCOSER SAS,Emitida,104984,Ver Conjunto detalle,""137,988,187.00"",Emergencia COVID19,FLORENCIA,Obligada,No Definido,8300259160,4659,544,830025916,18/11/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/58838,,,,,,,,,,"
